id_harga;nama_harga;satuan_harga;jumlah_harga;id_jurusan_pdd;id_jenjang_pdd;id_spesifikasi_pdd;id_harga_jenis;pilih_harga;tgl_input_harga
1;Institusional Fee;Per siswa/periode;50000;1;NULL;1;1;1;NULL
2;Management Fee;Per siswa/periode;75000;1;NULL;1;1;1;NULL
3;Alat Tulis Kantor;Per siswa/periode;5000;1;NULL;1;1;1;NULL
4;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;5000;1;NULL;1;2;1;NULL
5;Orientasi Keselamatan Pasien;Per siswa/periode;10000;1;NULL;1;3;1;NULL
6;Log Book (dibayar 1 kali);Per siswa/periode;20000;1;NULL;1;3;1;NULL
7;Name Tag (dibayar 1 kali);Per siswa/periode;5000;1;NULL;1;3;1;NULL
8;Clinical science session (CSS);Per siswa/kali;37500;1;NULL;1;4;1;NULL
9;Case report session (CRS);Per siswa/kali;37500;1;NULL;1;4;1;NULL
10;Case base Discusion (CBD);Per siswa/kali;37500;1;NULL;1;4;1;NULL
11;Pengayaan - Observasi;Per siswa/kali;37500;1;NULL;1;4;1;NULL
12;RPS (Resource Person Session);Per siswa/kali;37500;1;NULL;1;4;1;NULL
13;Bed side teaching (BST)- Visite Besar-Role Model - Pembimbingan Kedokteran Umum di IGD;Per siswa/kali;37500;1;NULL;1;4;1;NULL
14;Mini Clinical Examination  Evaluation (Mini CeX);Per siswa/kali;150000;1;NULL;1;6;1;NULL
15;Ujian;Per siswa/kali;150000;1;NULL;1;6;1;NULL
16;Makan Pembimbing Ujian;Per siswa/kali;20000;1;NULL;1;6;1;NULL
17;Standar Pasien;Per siswa/kali;100000;1;NULL;1;6;1;NULL
18;Institusional Fee;Per siswa/periode;20000;2;3;NULL;1;1;NULL
19;Management Fee;Per siswa/periode;20000;2;3;NULL;1;1;NULL
20;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;2;3;NULL;2;1;NULL
21;Orientasi ;Per periode / Kali;75000;2;3;NULL;3;1;NULL
22;Keselamatan Pasien;Per periode / Kali;150000;2;3;NULL;3;1;NULL
23;Log Book (dibayar 1 kali);Per siswa/periode;20000;2;3;NULL;3;1;NULL
24;Name Tag (dibayar 1 kali);Per siswa/periode;10000;2;3;NULL;3;1;NULL
25;RPS (Resource Person Session);Per periode/kali;150000;2;3;NULL;4;1;NULL
26;Bed side teaching (BST);Per siswa/kali;50000;2;3;NULL;4;1;NULL
27;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;2;3;NULL;4;1;NULL
28;Ujian;Per siswa/hari;150000;2;3;NULL;6;1;NULL
29;Makan dan Snack Penguji;Per penguji/kali;20000;2;3;NULL;6;1;NULL
30;Bahan Habis Pakai Ujian;Per siswa/kali;100000;2;3;NULL;6;1;NULL
31;Institusional Fee Ujian;Per siswa/periode ujian;150000;2;3;NULL;6;1;NULL
32;Management Fee Ujian;Per siswa/periode ujian;20000;2;3;NULL;6;1;NULL
33;Institusional Fee;Per siswa/periode;20000;2;5;NULL;1;1;NULL
34;Management Fee;Per siswa/periode;20000;2;5;NULL;1;1;NULL
35;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;2;5;NULL;2;1;NULL
36;Orientasi ;Per periode / Kali;75000;2;5;NULL;3;1;NULL
37;Keselamatan Pasien;Per periode / Kali;150000;2;5;NULL;3;1;NULL
38;Log Book (dibayar 1 kali);Per siswa/periode;20000;2;5;NULL;3;1;NULL
39;Name Tag (dibayar 1 kali);Per siswa/periode;10000;2;5;NULL;3;1;NULL
40;RPS (Resource Person Session);Per periode/kali;150000;2;5;NULL;4;1;NULL
41;Bed side teaching (BST);Per siswa/kali;75000;2;5;NULL;4;1;NULL
42;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;2;5;NULL;4;1;NULL
43;Ujian;Per siswa/hari;150000;2;5;NULL;6;1;NULL
44;Makan dan Snack Penguji;Per penguji/kali;20000;2;5;NULL;6;1;NULL
45;Bahan Habis Pakai Ujian;Per siswa/kali;100000;2;5;NULL;6;1;NULL
46;Institusional Fee Ujian;Per siswa/periode ujian;150000;2;5;NULL;6;1;NULL
47;Management Fee Ujian;Per siswa/periode ujian;20000;2;5;NULL;6;1;NULL
48;Institusional Fee;Per siswa/periode;20000;2;NULL;2;1;1;NULL
49;Management Fee;Per siswa/periode;20000;2;NULL;2;1;1;NULL
50;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;2;NULL;2;2;1;NULL
51;Orientasi ;Per periode / Kali;75000;2;NULL;2;3;1;NULL
52;Keselamatan Pasien;Per periode / Kali;150000;2;NULL;2;3;1;NULL
53;Log Book (dibayar 1 kali);Per siswa/periode;20000;2;NULL;2;3;1;NULL
54;Name Tag (dibayar 1 kali);Per siswa/periode;10000;2;NULL;2;3;1;NULL
55;RPS (Resource Person Session);Per periode/kali;150000;2;NULL;2;4;1;NULL
56;Bed side teaching (BST);Per siswa/kali;75000;2;NULL;2;4;1;NULL
57;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;2;NULL;2;4;1;NULL
58;Ujian;Per siswa/hari;150000;2;NULL;2;6;1;NULL
59;Makan dan Snack Penguji;Per penguji/kali;20000;2;NULL;2;6;1;NULL
60;Bahan Habis Pakai Ujian;Per siswa/kali;100000;2;NULL;2;6;1;NULL
61;Institusional Fee Ujian;Per siswa/periode ujian;150000;2;NULL;2;6;1;NULL
62;Management Fee Ujian;Per siswa/periode ujian;20000;2;NULL;2;6;1;NULL
63;Institusional Fee;Per siswa/periode;20000;3;3;NULL;1;1;NULL
64;Management Fee;Per siswa/periode;20000;3;3;NULL;1;1;NULL
65;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;3;3;NULL;2;1;NULL
66;Orientasi ;Per periode / Kali;75000;3;3;NULL;3;1;NULL
67;Keselamatan Pasien;Per periode / Kali;150000;3;3;NULL;3;1;NULL
68;Log Book (dibayar 1 kali);Per siswa/periode;20000;3;3;NULL;3;1;NULL
69;Name Tag (dibayar 1 kali);Per siswa/periode;10000;3;3;NULL;3;1;NULL
70;RPS (Resource Person Session);Per periode/kali;150000;3;3;NULL;4;1;NULL
71;Bed side teaching (BST);Per siswa/kali;50000;3;3;NULL;4;1;NULL
72;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;3;3;NULL;4;1;NULL
73;Ujian;Per siswa/hari;150000;3;3;NULL;6;1;NULL
74;Makan dan Snack Penguji;Per penguji/kali;20000;3;3;NULL;6;1;NULL
75;Bahan Habis Pakai Ujian;Per siswa/kali;100000;3;3;NULL;6;1;NULL
76;Institusional Fee Ujian;Per siswa/periode ujian;150000;3;3;NULL;6;1;NULL
77;Management Fee Ujian;Per siswa/periode ujian;20000;3;3;NULL;6;1;NULL
78;Institusional Fee;Per siswa/periode;20000;3;4;NULL;1;1;NULL
79;Management Fee;Per siswa/periode;20000;3;4;NULL;1;1;NULL
80;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;3;4;NULL;2;1;NULL
81;Orientasi ;Per periode / Kali;75000;3;4;NULL;3;1;NULL
82;Keselamatan Pasien;Per periode / Kali;150000;3;4;NULL;3;1;NULL
83;Log Book (dibayar 1 kali);Per siswa/periode;20000;3;4;NULL;3;1;NULL
84;Name Tag (dibayar 1 kali);Per siswa/periode;10000;3;4;NULL;3;1;NULL
85;RPS (Resource Person Session);Per periode/kali;150000;3;4;NULL;4;1;NULL
86;Bed side teaching (BST);Per siswa/kali;75000;3;4;NULL;4;1;NULL
87;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;3;4;NULL;4;1;NULL
88;Ujian;Per siswa/hari;150000;3;4;NULL;6;1;NULL
89;Makan dan Snack Penguji;Per penguji/kali;20000;3;4;NULL;6;1;NULL
90;Bahan Habis Pakai Ujian;Per siswa/kali;100000;3;4;NULL;6;1;NULL
91;Institusional Fee Ujian;Per siswa/periode ujian;150000;3;4;NULL;6;1;NULL
92;Management Fee Ujian;Per siswa/periode ujian;20000;3;4;NULL;6;1;NULL
93;Institusional Fee;Per siswa/periode;20000;3;5;NULL;1;1;NULL
94;Management Fee;Per siswa/periode;20000;3;5;NULL;1;1;NULL
95;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;3;5;NULL;2;1;NULL
96;Orientasi ;Per periode / Kali;75000;3;5;NULL;3;1;NULL
97;Keselamatan Pasien;Per periode / Kali;150000;3;5;NULL;3;1;NULL
98;Log Book (dibayar 1 kali);Per siswa/periode;20000;3;5;NULL;3;1;NULL
99;Name Tag (dibayar 1 kali);Per siswa/periode;10000;3;5;NULL;3;1;NULL
100;RPS (Resource Person Session);Per periode/kali;150000;3;5;NULL;4;1;NULL
101;Bed side teaching (BST);Per siswa/kali;75000;3;5;NULL;4;1;NULL
102;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;3;5;NULL;4;1;NULL
103;Ujian;Per siswa/hari;150000;3;5;NULL;6;1;NULL
104;Makan dan Snack Penguji;Per penguji/kali;20000;3;5;NULL;6;1;NULL
105;Bahan Habis Pakai Ujian;Per siswa/kali;100000;3;5;NULL;6;1;NULL
106;Institusional Fee Ujian;Per siswa/periode ujian;150000;3;5;NULL;6;1;NULL
107;Management Fee Ujian;Per siswa/periode ujian;20000;3;5;NULL;6;1;NULL
108;Institusional Fee;Per siswa/periode;20000;3;6;NULL;1;1;NULL
109;Management Fee;Per siswa/periode;20000;3;6;NULL;1;1;NULL
110;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;3;6;NULL;2;1;NULL
111;Orientasi ;Per periode / Kali;75000;3;6;NULL;3;1;NULL
112;Keselamatan Pasien;Per periode / Kali;150000;3;6;NULL;3;1;NULL
113;Log Book (dibayar 1 kali);Per siswa/periode;20000;3;6;NULL;3;1;NULL
114;Name Tag (dibayar 1 kali);Per siswa/periode;10000;3;6;NULL;3;1;NULL
115;RPS (Resource Person Session);Per periode/kali;150000;3;6;NULL;4;1;NULL
116;Bed side teaching (BST);Per siswa/kali;75000;3;6;NULL;4;1;NULL
117;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;3;6;NULL;4;1;NULL
118;Ujian;Per siswa/hari;150000;3;6;NULL;6;1;NULL
119;Makan dan Snack Penguji;Per penguji/kali;20000;3;6;NULL;6;1;NULL
120;Bahan Habis Pakai Ujian;Per siswa/kali;100000;3;6;NULL;6;1;NULL
121;Institusional Fee Ujian;Per siswa/periode ujian;150000;3;6;NULL;6;1;NULL
122;Management Fee Ujian;Per siswa/periode ujian;20000;3;6;NULL;6;1;NULL
123;Institusional Fee;Per siswa/periode;20000;4;3;NULL;1;1;NULL
124;Management Fee;Per siswa/periode;20000;4;3;NULL;1;1;NULL
125;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;4;3;NULL;2;1;NULL
126;Orientasi ;Per periode / Kali;75000;4;3;NULL;3;1;NULL
127;Keselamatan Pasien;Per periode / Kali;150000;4;3;NULL;3;1;NULL
128;Log Book (dibayar 1 kali);Per siswa/periode;20000;4;3;NULL;3;1;NULL
129;Name Tag (dibayar 1 kali);Per siswa/periode;10000;4;3;NULL;3;1;NULL
130;RPS (Resource Person Session);Per periode/kali;150000;4;3;NULL;4;1;NULL
131;Bed side teaching (BST);Per siswa/kali;50000;4;3;NULL;4;1;NULL
132;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;4;3;NULL;4;1;NULL
133;Ujian;Per siswa/hari;150000;4;3;NULL;6;1;NULL
134;Makan dan Snack Penguji;Per penguji/kali;20000;4;3;NULL;6;1;NULL
135;Bahan Habis Pakai Ujian;Per siswa/kali;100000;4;3;NULL;6;1;NULL
136;Institusional Fee Ujian;Per siswa/periode ujian;150000;4;3;NULL;6;1;NULL
137;Management Fee Ujian;Per siswa/periode ujian;20000;4;3;NULL;6;1;NULL
138;Institusional Fee;Per siswa/periode;20000;4;4;NULL;1;1;NULL
139;Management Fee;Per siswa/periode;20000;4;4;NULL;1;1;NULL
140;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;4;4;NULL;2;1;NULL
141;Orientasi ;Per periode / Kali;75000;4;4;NULL;3;1;NULL
142;Keselamatan Pasien;Per periode / Kali;150000;4;4;NULL;3;1;NULL
143;Log Book (dibayar 1 kali);Per siswa/periode;20000;4;4;NULL;3;1;NULL
144;Name Tag (dibayar 1 kali);Per siswa/periode;10000;4;4;NULL;3;1;NULL
145;RPS (Resource Person Session);Per periode/kali;150000;4;4;NULL;4;1;NULL
146;Bed side teaching (BST);Per siswa/kali;75000;4;4;NULL;4;1;NULL
147;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;4;4;NULL;4;1;NULL
148;Ujian;Per siswa/hari;150000;4;4;NULL;6;1;NULL
149;Makan dan Snack Penguji;Per penguji/kali;20000;4;4;NULL;6;1;NULL
150;Bahan Habis Pakai Ujian;Per siswa/kali;100000;4;4;NULL;6;1;NULL
151;Institusional Fee Ujian;Per siswa/periode ujian;150000;4;4;NULL;6;1;NULL
152;Management Fee Ujian;Per siswa/periode ujian;20000;4;4;NULL;6;1;NULL
153;Institusional Fee;Per siswa/periode;20000;4;5;NULL;1;1;NULL
154;Management Fee;Per siswa/periode;20000;4;5;NULL;1;1;NULL
155;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;4;5;NULL;2;1;NULL
156;Orientasi ;Per periode / Kali;75000;4;5;NULL;3;1;NULL
157;Keselamatan Pasien;Per periode / Kali;150000;4;5;NULL;3;1;NULL
158;Log Book (dibayar 1 kali);Per siswa/periode;20000;4;5;NULL;3;1;NULL
159;Name Tag (dibayar 1 kali);Per siswa/periode;10000;4;5;NULL;3;1;NULL
160;RPS (Resource Person Session);Per periode/kali;150000;4;5;NULL;4;1;NULL
161;Bed side teaching (BST);Per siswa/kali;75000;4;5;NULL;4;1;NULL
162;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;4;5;NULL;4;1;NULL
163;Ujian;Per siswa/hari;150000;4;5;NULL;6;1;NULL
164;Makan dan Snack Penguji;Per penguji/kali;20000;4;5;NULL;6;1;NULL
165;Bahan Habis Pakai Ujian;Per siswa/kali;100000;4;5;NULL;6;1;NULL
166;Institusional Fee Ujian;Per siswa/periode ujian;150000;4;5;NULL;6;1;NULL
167;Management Fee Ujian;Per siswa/periode ujian;20000;4;5;NULL;6;1;NULL
168;Institusional Fee;Per siswa/periode;20000;4;6;NULL;1;1;NULL
169;Management Fee;Per siswa/periode;20000;4;6;NULL;1;1;NULL
170;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;4;6;NULL;2;1;NULL
171;Orientasi ;Per periode / Kali;75000;4;6;NULL;3;1;NULL
172;Keselamatan Pasien;Per periode / Kali;150000;4;6;NULL;3;1;NULL
173;Log Book (dibayar 1 kali);Per siswa/periode;20000;4;6;NULL;3;1;NULL
174;Name Tag (dibayar 1 kali);Per siswa/periode;10000;4;6;NULL;3;1;NULL
175;RPS (Resource Person Session);Per periode/kali;150000;4;6;NULL;4;1;NULL
176;Bed side teaching (BST);Per siswa/kali;75000;4;6;NULL;4;1;NULL
177;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;4;6;NULL;4;1;NULL
178;Ujian;Per siswa/hari;150000;4;6;NULL;6;1;NULL
179;Makan dan Snack Penguji;Per penguji/kali;20000;4;6;NULL;6;1;NULL
180;Bahan Habis Pakai Ujian;Per siswa/kali;100000;4;6;NULL;6;1;NULL
181;Institusional Fee Ujian;Per siswa/periode ujian;150000;4;6;NULL;6;1;NULL
182;Management Fee Ujian;Per siswa/periode ujian;20000;4;6;NULL;6;1;NULL
183;Institusional Fee;Per siswa/periode;20000;5;3;NULL;1;1;NULL
184;Management Fee;Per siswa/periode;20000;5;3;NULL;1;1;NULL
185;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;5;3;NULL;2;1;NULL
186;Orientasi ;Per periode / Kali;75000;5;3;NULL;3;1;NULL
187;Keselamatan Pasien;Per periode / Kali;150000;5;3;NULL;3;1;NULL
188;Log Book (dibayar 1 kali);Per siswa/periode;20000;5;3;NULL;3;1;NULL
189;Name Tag (dibayar 1 kali);Per siswa/periode;10000;5;3;NULL;3;1;NULL
190;RPS (Resource Person Session);Per periode/kali;150000;5;3;NULL;4;1;NULL
191;Bed side teaching (BST);Per siswa/kali;50000;5;3;NULL;4;1;NULL
192;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;5;3;NULL;4;1;NULL
193;Ujian;Per siswa/hari;150000;5;3;NULL;6;1;NULL
194;Makan dan Snack Penguji;Per penguji/kali;20000;5;3;NULL;6;1;NULL
195;Bahan Habis Pakai Ujian;Per siswa/kali;100000;5;3;NULL;6;1;NULL
196;Institusional Fee Ujian;Per siswa/periode ujian;150000;5;3;NULL;6;1;NULL
197;Management Fee Ujian;Per siswa/periode ujian;20000;5;3;NULL;6;1;NULL
198;Institusional Fee;Per siswa/periode;20000;5;4;NULL;1;1;NULL
199;Management Fee;Per siswa/periode;20000;5;4;NULL;1;1;NULL
200;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;5;4;NULL;2;1;NULL
201;Orientasi ;Per periode / Kali;75000;5;4;NULL;3;1;NULL
202;Keselamatan Pasien;Per periode / Kali;150000;5;4;NULL;3;1;NULL
203;Log Book (dibayar 1 kali);Per siswa/periode;20000;5;4;NULL;3;1;NULL
204;Name Tag (dibayar 1 kali);Per siswa/periode;10000;5;4;NULL;3;1;NULL
205;RPS (Resource Person Session);Per periode/kali;150000;5;4;NULL;4;1;NULL
206;Bed side teaching (BST);Per siswa/kali;75000;5;4;NULL;4;1;NULL
207;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;5;4;NULL;4;1;NULL
208;Ujian;Per siswa/hari;150000;5;4;NULL;6;1;NULL
209;Makan dan Snack Penguji;Per penguji/kali;20000;5;4;NULL;6;1;NULL
210;Bahan Habis Pakai Ujian;Per siswa/kali;100000;5;4;NULL;6;1;NULL
211;Institusional Fee Ujian;Per siswa/periode ujian;150000;5;4;NULL;6;1;NULL
212;Management Fee Ujian;Per siswa/periode ujian;20000;5;4;NULL;6;1;NULL
213;Institusional Fee;Per siswa/periode;20000;5;5;NULL;1;1;NULL
214;Management Fee;Per siswa/periode;20000;5;5;NULL;1;1;NULL
215;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;5;5;NULL;2;1;NULL
216;Orientasi ;Per periode / Kali;75000;5;5;NULL;3;1;NULL
217;Keselamatan Pasien;Per periode / Kali;150000;5;5;NULL;3;1;NULL
218;Log Book (dibayar 1 kali);Per siswa/periode;20000;5;5;NULL;3;1;NULL
219;Name Tag (dibayar 1 kali);Per siswa/periode;10000;5;5;NULL;3;1;NULL
220;RPS (Resource Person Session);Per periode/kali;150000;5;5;NULL;4;1;NULL
221;Bed side teaching (BST);Per siswa/kali;75000;5;5;NULL;4;1;NULL
222;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;5;5;NULL;4;1;NULL
223;Ujian;Per siswa/hari;150000;5;5;NULL;6;1;NULL
224;Makan dan Snack Penguji;Per penguji/kali;20000;5;5;NULL;6;1;NULL
225;Bahan Habis Pakai Ujian;Per siswa/kali;100000;5;5;NULL;6;1;NULL
226;Institusional Fee Ujian;Per siswa/periode ujian;150000;5;5;NULL;6;1;NULL
227;Management Fee Ujian;Per siswa/periode ujian;20000;5;5;NULL;6;1;NULL
228;Institusional Fee;Per siswa/periode;20000;5;6;NULL;1;1;NULL
229;Management Fee;Per siswa/periode;20000;5;6;NULL;1;1;NULL
230;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;5;6;NULL;2;1;NULL
231;Orientasi ;Per periode / Kali;75000;5;6;NULL;3;1;NULL
232;Keselamatan Pasien;Per periode / Kali;150000;5;6;NULL;3;1;NULL
233;Log Book (dibayar 1 kali);Per siswa/periode;20000;5;6;NULL;3;1;NULL
234;Name Tag (dibayar 1 kali);Per siswa/periode;10000;5;6;NULL;3;1;NULL
235;RPS (Resource Person Session);Per periode/kali;150000;5;6;NULL;4;1;NULL
236;Bed side teaching (BST);Per siswa/kali;75000;5;6;NULL;4;1;NULL
237;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;5;6;NULL;4;1;NULL
238;Ujian;Per siswa/hari;150000;5;6;NULL;6;1;NULL
239;Makan dan Snack Penguji;Per penguji/kali;20000;5;6;NULL;6;1;NULL
240;Bahan Habis Pakai Ujian;Per siswa/kali;100000;5;6;NULL;6;1;NULL
241;Institusional Fee Ujian;Per siswa/periode ujian;150000;5;6;NULL;6;1;NULL
242;Management Fee Ujian;Per siswa/periode ujian;20000;5;6;NULL;6;1;NULL
243;Institusional Fee;Per siswa/periode;20000;6;3;NULL;1;1;NULL
244;Management Fee;Per siswa/periode;20000;6;3;NULL;1;1;NULL
245;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;6;3;NULL;2;1;NULL
246;Orientasi ;Per periode / Kali;75000;6;3;NULL;3;1;NULL
247;Keselamatan Pasien;Per periode / Kali;150000;6;3;NULL;3;1;NULL
248;Log Book (dibayar 1 kali);Per siswa/periode;20000;6;3;NULL;3;1;NULL
249;Name Tag (dibayar 1 kali);Per siswa/periode;10000;6;3;NULL;3;1;NULL
250;RPS (Resource Person Session);Per periode/kali;150000;6;3;NULL;4;1;NULL
251;Bed side teaching (BST);Per siswa/kali;50000;6;3;NULL;4;1;NULL
252;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;6;3;NULL;4;1;NULL
253;Ujian;Per siswa/hari;150000;6;3;NULL;6;1;NULL
254;Makan dan Snack Penguji;Per penguji/kali;20000;6;3;NULL;6;1;NULL
255;Bahan Habis Pakai Ujian;Per siswa/kali;100000;6;3;NULL;6;1;NULL
256;Institusional Fee Ujian;Per siswa/periode ujian;150000;6;3;NULL;6;1;NULL
257;Management Fee Ujian;Per siswa/periode ujian;20000;6;3;NULL;6;1;NULL
258;Institusional Fee;Per siswa/periode;20000;6;4;NULL;1;1;NULL
259;Management Fee;Per siswa/periode;20000;6;4;NULL;1;1;NULL
260;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;6;4;NULL;2;1;NULL
261;Orientasi ;Per periode / Kali;75000;6;4;NULL;3;1;NULL
262;Keselamatan Pasien;Per periode / Kali;150000;6;4;NULL;3;1;NULL
263;Log Book (dibayar 1 kali);Per siswa/periode;20000;6;4;NULL;3;1;NULL
264;Name Tag (dibayar 1 kali);Per siswa/periode;10000;6;4;NULL;3;1;NULL
265;RPS (Resource Person Session);Per periode/kali;150000;6;4;NULL;4;1;NULL
266;Bed side teaching (BST);Per siswa/kali;75000;6;4;NULL;4;1;NULL
267;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;6;4;NULL;4;1;NULL
268;Ujian;Per siswa/hari;150000;6;4;NULL;6;1;NULL
269;Makan dan Snack Penguji;Per penguji/kali;20000;6;4;NULL;6;1;NULL
270;Bahan Habis Pakai Ujian;Per siswa/kali;100000;6;4;NULL;6;1;NULL
271;Institusional Fee Ujian;Per siswa/periode ujian;150000;6;4;NULL;6;1;NULL
272;Management Fee Ujian;Per siswa/periode ujian;20000;6;4;NULL;6;1;NULL
273;Institusional Fee;Per siswa/periode;20000;6;5;NULL;1;1;NULL
274;Management Fee;Per siswa/periode;20000;6;5;NULL;1;1;NULL
275;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;6;5;NULL;2;1;NULL
276;Orientasi ;Per periode / Kali;75000;6;5;NULL;3;1;NULL
277;Keselamatan Pasien;Per periode / Kali;150000;6;5;NULL;3;1;NULL
278;Log Book (dibayar 1 kali);Per siswa/periode;20000;6;5;NULL;3;1;NULL
279;Name Tag (dibayar 1 kali);Per siswa/periode;10000;6;5;NULL;3;1;NULL
280;RPS (Resource Person Session);Per periode/kali;150000;6;5;NULL;4;1;NULL
281;Bed side teaching (BST);Per siswa/kali;75000;6;5;NULL;4;1;NULL
282;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;6;5;NULL;4;1;NULL
283;Ujian;Per siswa/hari;150000;6;5;NULL;6;1;NULL
284;Makan dan Snack Penguji;Per penguji/kali;20000;6;5;NULL;6;1;NULL
285;Bahan Habis Pakai Ujian;Per siswa/kali;100000;6;5;NULL;6;1;NULL
286;Institusional Fee Ujian;Per siswa/periode ujian;150000;6;5;NULL;6;1;NULL
287;Management Fee Ujian;Per siswa/periode ujian;20000;6;5;NULL;6;1;NULL
288;Institusional Fee;Per siswa/periode;20000;6;6;NULL;1;1;NULL
289;Management Fee;Per siswa/periode;20000;6;6;NULL;1;1;NULL
290;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;6;6;NULL;2;1;NULL
291;Orientasi ;Per periode / Kali;75000;6;6;NULL;3;1;NULL
292;Keselamatan Pasien;Per periode / Kali;150000;6;6;NULL;3;1;NULL
293;Log Book (dibayar 1 kali);Per siswa/periode;20000;6;6;NULL;3;1;NULL
294;Name Tag (dibayar 1 kali);Per siswa/periode;10000;6;6;NULL;3;1;NULL
295;RPS (Resource Person Session);Per periode/kali;150000;6;6;NULL;4;1;NULL
296;Bed side teaching (BST);Per siswa/kali;75000;6;6;NULL;4;1;NULL
297;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;6;6;NULL;4;1;NULL
298;Ujian;Per siswa/hari;150000;6;6;NULL;6;1;NULL
299;Makan dan Snack Penguji;Per penguji/kali;20000;6;6;NULL;6;1;NULL
300;Bahan Habis Pakai Ujian;Per siswa/kali;100000;6;6;NULL;6;1;NULL
301;Institusional Fee Ujian;Per siswa/periode ujian;150000;6;6;NULL;6;1;NULL
302;Management Fee Ujian;Per siswa/periode ujian;20000;6;6;NULL;6;1;NULL
